author_id,sterling_no,home_grown,diversity,total_topics,total_publications,no_of_paper_venues,total_active_year,h-index,total_cites
01EC0084,0.01783072995157453,0.873705767627152,0.02040816326530612,2,28,1,13,0.0,5
01ED6446,0.09712540424358444,0.8713219751711005,0.10677685950413224,5,55,11,16,0.3333,151
01EDDE7E,0.041444277782221775,0.676923203776289,0.061224489795918366,2,7,5,6,4.4167,2
01F0A868,0.16665101882731403,0.8387511977606497,0.19444444444444442,3,6,1,4,0.0,8
01F13477,0.02617913250169523,0.9424487700610283,0.027777777777777776,2,6,1,5,0.0,0
01F1AE20,0.19366551275781768,0.7746620510312707,0.25,2,2,2,2,0.0,13
01F2E511,0.1095879842617421,0.8949685381375605,0.12244897959183672,4,7,6,7,0.0,18
01F2F77E,0.0804147457817928,0.7746620510312707,0.10380622837370242,2,17,10,9,0.0,155
01F64702,0.19035422291366935,0.8565940031115121,0.2222222222222222,2,3,3,2,4.0,0
01F9F5A5,0.14164577783859994,0.8498746670315996,0.16666666666666666,2,6,2,4,0.0,2
01FC48F8,0.05562782025564869,0.9113540340895648,0.06076388888888889,6,24,6,14,0.0,19
01FED4F4,0.09567194852677291,0.9104312548071906,0.10204081632653061,3,7,4,3,45.6667,39
01FFC35C,0.1291103418385451,0.7746620510312707,0.16666666666666666,2,6,3,4,0.0,2
01FFDA15,0.1660125008227241,0.9182595084093861,0.18518518518518517,4,9,5,6,0.0,51
020338D9,0.34219536189254746,0.9125209650467934,0.375,4,4,4,3,0.0,0
020513B8,0.21689006007889355,0.8675602403155742,0.25,2,2,1,2,0.0,0
020AA827,0.09468473814456695,0.7669463789709923,0.12345679012345678,2,9,1,4,0.8,0
020BF2EE,0.14901846961810608,0.9127381264108997,0.16326530612244897,2,7,2,5,27.9833,0
020E23AA,0.2855771448563232,0.8953708854889515,0.3125,3,4,3,3,1.0,12
0214511D,0.05564639586570605,0.9274399310951008,0.06,2,10,7,5,132.676,28
0216FCCB,0.01752412608973844,0.7774949585475693,0.02410518626734843,3,37,8,11,0.0,77
02175A03,0.11760273815648566,0.8964248951522794,0.13,4,10,6,3,9.0076,6
0219149C,0.1003738744040672,0.8029909952325376,0.125,2,8,1,3,460.933,3
021A8FA5,0.07552831587608552,0.9252218694820477,0.08163265306122448,2,7,3,3,8.1333,4
021B1A55,0.04781864512538708,0.7746620510312707,0.06172839506172839,2,9,4,8,17.1,11
021B9A3B,0.19173659474274807,0.7669463789709923,0.25,2,2,1,2,0.0,0
021C60B5,0.24656544619267018,0.9169077932982047,0.2857142857142857,3,7,3,3,0.5833,7
021CCADE,0.07393983213256017,0.9464298512967702,0.078125,2,8,6,7,0.0,39
021D3B26,0.13074586437146204,0.8171616523216378,0.16,2,5,1,4,0.0,0
0221F19D,0.02077070206161604,0.8722038989163787,0.024390243902439025,4,41,8,11,0.0,85
0222EA5D,0.0783782047445597,0.8387511977606497,0.09722222222222221,3,12,7,6,0.0,36
02257AD8,0.09119534866062423,0.9109981680245617,0.10350981558596067,7,41,14,10,154.017,472
02267E1F,0.023024598767900986,0.676923203776289,0.034013605442176874,2,21,7,10,57.5167,87
